Boyd ADMM Lasso rho/alpha tuning
Run directory: example/boyd_admm_lasso_20260513
MATLAB version: 25.1.0.2943329 (R2025a)
Timestamp: 2026-05-13 12:49:49
Baseline objective: 17.2693553575
Objective tolerance: 0.1

=== Trial 01: rho=0.1 alpha=1 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
 61	    0.1506	    0.0817	    0.0020	    0.0577	     17.02
 62	    0.1468	    0.0817	    0.0013	    0.0578	     17.04
 63	    0.1430	    0.0818	    0.0009	    0.0579	     17.05
 64	    0.1391	    0.0818	    0.0009	    0.0580	     17.06
 65	    0.1355	    0.0818	    0.0009	    0.0581	     17.07
 66	    0.1322	    0.0818	    0.0007	    0.0581	     17.08
 67	    0.1289	    0.0818	    0.0005	    0.0582	     17.08
 68	    0.1258	    0.0818	    0.0004	    0.0583	     17.09
 69	    0.1227	    0.0818	    0.0004	    0.0584	     17.10
 70	    0.1197	    0.0818	    0.0004	    0.0584	     17.11
 71	    0.1165	    0.0819	    0.0011	    0.0585	     17.12
 72	    0.1129	    0.0819	    0.0017	    0.0586	     17.13
 73	    0.1101	    0.0819	    0.0015	    0.0586	     17.15
 74	    0.1076	    0.0819	    0.0009	    0.0587	     17.16
 75	    0.1051	    0.0819	    0.0004	    0.0588	     17.16
 76	    0.1024	    0.0819	    0.0005	    0.0588	     17.17
 77	    0.0999	    0.0819	    0.0006	    0.0589	     17.17
 78	    0.0975	    0.0819	    0.0005	    0.0589	     17.18
 79	    0.0953	    0.0819	    0.0004	    0.0590	     17.19
 80	    0.0931	    0.0819	    0.0003	    0.0591	     17.19
 81	    0.0909	    0.0820	    0.0003	    0.0591	     17.20
 82	    0.0888	    0.0820	    0.0003	    0.0592	     17.21
 83	    0.0868	    0.0820	    0.0003	    0.0592	     17.21
 84	    0.0848	    0.0820	    0.0002	    0.0593	     17.22
 85	    0.0829	    0.0820	    0.0002	    0.0593	     17.22
 86	    0.0808	    0.0820	    0.0004	    0.0594	     17.23
历时 0.664988 秒。

summary: iterations=86 final_objective=17.2305759966 r_norm=0.0808390366295 eps_pri=0.081991625735 s_norm=0.000373626212826 eps_dual=0.0593563558311 valid=1 elapsed_seconds=0.665207 status=success

=== Trial 03: rho=0.1 alpha=1.5 ===
iter	    r norm	   eps pri	    s norm	  eps dual	 objective
  1	    5.1637	    0.0587	    0.0000	    0.0148	      0.05
  2	    4.8668	    0.0557	    0.0000	    0.0221	      0.32
  3	    4.4298	    0.0531	    0.0974	    0.0288	      1.26
  4	    3.8555	    0.0537	    0.2709	    0.0341	      3.69
  5	    3.3161	    0.0733	    0.3257	    0.0376	      7.07
  6	    3.1439	    0.0900	    0.2390	    0.0399	      9.69
  7	    2.8002	    0.0932	    0.2016	    0.0418	     11.11
  8	    2.2718	    0.0848	    0.2581	    0.0434	     11.91
  9	    2.0384	    0.0784	    0.2284	    0.0447	     12.54
 10	    1.9510	    0.0775	    0.1519	    0.0458	     13.27
 11	    1.6395	    0.0784	    0.1594	    0.0467	     14.08
 12	    1.3635	    0.0819	    0.1645	    0.0474	     14.73
 13	    1.2790	    0.0839	    0.1275	    0.0480	     15.09
 14	    1.1682	    0.0836	    0.0999	    0.0485	     15.19
 15	    1.0083	    0.0813	    0.0980	    0.0490	     15.13
 16	    0.9104	    0.0793	    0.0855	    0.0496	     15.09
 17	    0.8492	    0.0789	    0.0663	    0.0502	     15.22
 18	    0.7575	    0.0796	    0.0626	    0.0507	     15.48
 19	    0.6820	    0.0807	    0.0596	    0.0512	     15.73
 20	    0.6423	    0.0814	    0.0471	    0.0516	     15.89
 21	    0.5982	    0.0815	    0.0376	    0.0519	     15.97
 22	    0.5386	    0.0812	    0.0395	    0.0523	     16.03
 23	    0.4962	    0.0809	    0.0367	    0.0526	     16.10
 24	    0.4717	    0.0807	    0.0280	    0.0529	     16.17
 25	    0.4414	    0.0806	    0.0235	    0.0533	     16.21
 26	    0.4098	    0.0806	    0.0223	    0.0536	     16.24
 27	    0.3858	    0.0808	    0.0207	    0.0538	     16.31
 28	    0.3637	    0.0811	    0.0189	    0.0541	     16.41
 29	    0.3474	    0.0813	    0.0150	    0.0544	     16.50
 30	    0.3304	    0.0814	    0.0124	    0.0546	     16.54
 31	    0.3136	    0.0813	    0.0117	    0.0548	     16.55
 32	    0.2987	    0.0812	    0.0109	    0.0550	     16.54
 33	    0.2870	    0.0811	    0.0089	    0.0553	     16.55
 34	    0.2762	    0.0811	    0.0069	    0.0555	     16.59
 35	    0.2638	    0.0812	    0.0075	    0.0557	     16.65
 36	    0.2502	    0.0814	    0.0094	    0.0559	     16.72
 37	    0.2415	    0.0815	    0.0074	    0.0561	     16.77
 38	    0.2337	    0.0815	    0.0042	    0.0562	     16.79
 39	    0.2234	    0.0815	    0.0044	    0.0564	     16.79
 40	    0.2131	    0.0814	    0.0065	    0.0566	     16.81
 41	    0.2034	    0.0815	    0.0073	    0.0567	     16.84
 42	    0.1967	    0.0816	    0.0051	    0.0569	     16.89
 43	    0.1887	    0.0817	    0.0046	    0.0570	     16.94
 44	    0.1806	    0.0817	    0.0049	    0.0572	     16.96
 45	    0.1745	    0.0817	    0.0036	    0.0573	     16.97
 46	    0.1685	    0.0817	    0.0026	    0.0574	     16.97
 47	    0.1621	    0.0817	    0.0034	    0.0575	     16.97
 48	    0.1558	    0.0817	    0.0040	    0.0577	     16.99
 49	    0.1509	    0.0817	    0.0030	    0.0578	     17.02
 50	    0.1460	    0.0818	    0.0021	    0.0579	     17.05
